Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
NYK;Glen Gondrezick;22;35;12.7;9.9;2.4;0.9;
BOS;Kevin Stacom;26;1;5.4;16.3;1.3;0.2;
SEA;Wally Walker;23;41;10.2;10;1.1;0.5;
DEN;Mack Calvin;30;32;4.4;20.1;2.1;0.3;
IND;Mike Flynn;24;57;6;19.6;1.9;0.5;
IND;Adrian Dantley;21;37;11.1;10.2;2.2;0.9;
BUF;Mike Glenn;22;89;4.5;12.6;1.7;0.3;
WSB;Phil Chenier;27;85;5.4;11.3;1.7;0.5;
WSB;Greg Ballard;23;84;14.1;8.8;1.4;0.7;
PHO;Mike Bratz;22;23;6.3;17.1;1.8;0.3;
ATL;Tony Robertson;22;32;4.1;16.8;3.7;0.3;
CHI;Mark Landsberger;22;3;17.7;6.3;1.1;0.4;
BOS;Curtis Rowe;28;65;11.3;6.6;0.7;0.4;
PHO;Bayard Forrest;23;40;14.5;17.8;1.1;2;
BUF;Larry McNeill;27;82;11.5;7.5;0.9;0.6;
DEN;Tom LaGarde;22;98;12.7;6.9;0.9;1;
BOS;Kermit Washington;26;45;19.7;6.7;1.5;2.4;
NJN;Kim Hughes;25;71;13.6;5.4;2.5;3;
GSW;Ricky Marsh;23;80;4.5;13.9;1.5;1.2;
HOU;Rudy Tomjanovich;29;35;8.6;5.9;0.8;0.3;
DET;Jim Price;28;9;6.3;17.1;2.4;0.3;
CLE;Terry Furlow;23;83;6.5;13.5;1.2;0.9;
PHO;Curtis Perry;29;71;15.7;7.3;1.8;1.4;
GSW;Nate Williams;27;94;7.1;7.8;2;1.4;
SEA;Slick Watts;26;73;5.1;22.4;3;0.9;
WSB;Charles Johnson;28;93;5.7;14;1.7;0.1;
DET;Gus Gerard;24;38;9.5;7.8;1.9;1.4;
KCK;Bob Nash;27;61;10.8;8.1;1.5;1.2;
HOU;Alonzo Bradley;24;44;6.6;9.3;0.9;0.4;
CHI;Cazzie Russell;33;9;5.7;11.5;1.1;0.3;
NOJ;Slick Watts;26;32;6.1;27.3;3.1;1.1;
POR;T.R. Dunn;22;66;10;7.6;2.8;0.6;
LAL;Kermit Washington;26;83;19;5;1.1;1.6;
PHI;Harvey Catchings;26;96;16.9;5.5;1.2;4.6;
DEN;Darnell Hillman;28;37;16.4;9.4;0.8;2.5;
DET;Ralph Simpson;28;73;5.8;16.8;1.9;0.2;
LAL;Kenny Carr;22;32;14.5;4.7;1.1;1;
BUF;Ted McClain;31;3;5.5;22.6;2.7;0.1;
LAL;James Edwards;22;67;12.7;5.4;1;1.9;
CHI;Tate Armstrong;22;9;5.2;15.7;1.5;0;
BOS;Don Chaney;31;21;7.6;9.3;2.3;0.7;
CHI;Steve Sheppard;23;53;10.2;9.2;0.9;0.2;
BUF;Jim McDaniels;29;1;14;8.8;0.3;2.8;
LAL;Dave Robisch;28;40;13.5;7.5;1.3;1;
BUF;Bird Averitt;25;60;4;28.2;1.5;0.6;
LAL;Earl Tatum;24;42;6.9;14.8;2.5;0.8;
CLE;Dick Snyder;33;32;3.8;12;1.6;1.5;
NYK;Phil Jackson;32;6;8.7;8.1;2.1;1.2;
HOU;C.J. Kupec;25;34;7.7;10.5;0.8;0.3;
DET;Ben Poquette;22;28;12.2;4.3;0.7;1.8;
IND;Bob Carrington;24;36;4.9;13.7;1.6;0.9;
CHI;Nick Weatherspoon;27;43;11.1;7.5;1.5;0.9;
IND;Dave Robisch;28;63;14.1;10.6;1.5;1.3;
BUF;John Shumate;25;37;11.6;13.4;1.1;0.8;
DEN;Ralph Simpson;28;71;6.6;16;3.3;0.3;
DET;Al Eberhard;25;11;9.3;5.9;1;0.4;
ATL;Ron Behagen;27;80;16.5;9.4;2.4;1.2;
BUF;Scott Lloyd;25;35;11.3;8.3;0.9;0.8;
CHI;Cliff Pondexter;23;2;13.3;21.1;1.7;1.5;
NJN;Wilson Washington;22;9;13.2;2.4;1.4;3.5;
ATL;Ken Charles;26;43;2.5;22.5;2.2;0.6;
SAS;Mo Layton;29;8;3.4;27.5;1.9;0.4;
GSW;Charles Johnson;28;61;6.4;13.8;2.9;0.4;
KCK;Kevin Restani;26;58;10.4;5.8;0.5;0.5;
GSW;Wesley Cox;23;63;16;3.5;2.1;1.2;
NOJ;Gus Bailey;26;87;8.8;11.6;1.8;1.7;
IND;Steve Green;24;53;7.7;8.8;1.4;0.2;
WSB;Joe Pace;24;88;15.1;7;1.2;2.4;
NOJ;Nate Williams;27;72;10;11.3;2.1;1.4;
PHO;Greg Griffin;25;35;12.6;7.1;1.6;0;
NJN;Bird Averitt;25;59;3.9;23;1.8;0.1;
SEA;Joe Hassett;22;28;4.5;15.7;2.4;0;
NOJ;Fred Saunders;26;33;8.9;12;1.6;1.2;
WSB;Phil Walker;21;28;6.7;18.6;1.6;0.6;
DEN;Robert Smith;22;39;4.9;13.5;2.1;0.4;
NOJ;Freddie Boyd;27;65;2.5;16.9;1.1;0.4;
NJN;Louie Nelson;26;30;6.7;12.5;2.5;0.9;
POR;Willie Norwood;30;67;9.6;6.9;2.4;0;
NJN;Robert Hawkins;23;30;7.1;15.6;2.8;2;
LAL;Brad Davis;22;11;5.4;29.1;2;0.3;
LAL;Ernie DiGregorio;27;54;3.5;26.1;0.8;0;
SAS;James Silas;28;63;3.9;14.9;1.6;0.2;
PHI;Ted McClain;31;13;6.4;15;2.4;0.7;
IND;Mel Bennett;23;22;15.9;9.6;1.7;1.3;
NJN;Al Skinner;25;60;9.1;16;2;0.9;
BOS;Ernie DiGregorio;27;47;5;34;2;0.2;
GSW;Derrek Dickey;26;95;9.1;5.9;1.7;0.4;
DET;Marvin Barnes;25;36;17.8;10.1;1.2;2.1;
DET;Willie Norwood;30;53;10.9;7.1;2.2;0.6;
SAS;Jim Eakins;31;29;9.6;8.1;0.5;2;
SEA;Mike Green;26;23;11.2;5.7;1.1;2.8;
BOS;Fred Saunders;26;21;7.7;6;1.3;0.8;
CHI;Tom Boerwinkle;32;50;14.2;26.1;0.6;1;
CHI;Derrek Dickey;26;59;11.9;6.3;0.9;0.5;
HOU;Rudy White;24;9;5.1;13.4;1.7;0;
IND;Johnny Neumann;26;72;3.2;17.3;1.2;0.2;
CLE;Eddie Jordan;23;64;3.3;24.4;3.3;0.3;
ATL;Claude Terry;28;33;4.9;6.1;1.7;0;
MIL;Jim Eakins;31;10;9.9;9;1.1;2.3;
NJN;Mark Crow;23;15;8.5;7.8;1.4;0.3;
HOU;Zaid Abdul-Aziz;31;8;13.8;7;0.7;0.8;
LAL;Don Chaney;31;54;4.2;15.1;2.7;1.1;
BUF;Gary Brokaw;24;25;5;21.3;1.1;2;
DET;Kevin Porter;27;10;6.2;36.1;1.8;0;
NJN;Dave Wohl;28;5;1.6;14;1.1;0;
CHI;Jim Ard;29;10;15;7.8;0;0;
MIL;Scott Lloyd;25;29;12.3;9.5;1.2;2.3;
HOU;Larry Moffett;23;64;10.1;7.5;0.9;1;
POR;Dale Schlueter;32;30;10;19.9;1.3;1;
DET;Howard Porter;29;99;8.3;2.5;1.2;2.4;
HOU;Mike Dunleavy;23;62;4.7;29.7;3.7;0.5;
POR;Wally Walker;23;87;8.8;11.1;0.9;0;
SEA;Al Fleming;23;78;15.7;10.1;0;2.8;
SAS;Scott Sims;22;72;7.2;24.7;1.4;0;
IND;Bobby Wilson;27;81;6.8;12.9;1;0.6;
BUF;Gus Gerard;24;53;8.8;15.7;1.1;1.8;
MIL;Kevin Restani;26;29;8.8;13.5;0;0.6;
GSW;Larry McNeill;27;61;10.6;3.7;0;0.8;
HOU;Robin Jones;23;41;11.2;4.2;0.7;0.8;
BUF;Eddie Owens;24;47;8.5;11;0.7;0;
MIL;Rich Laurel;23;12;9.3;6.8;2.3;0.9;
