Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
MIN;Kevin Garnett;25;31;17.8;22.4;1.6;2.9;
MIA;Eddie Jones;30;25;7;15.4;2;1.9;
MIL;Anthony Mason;35;39;11.9;16.6;1;0.5;
MIN;Wally Szczerbiak;24;26;7.2;13.6;1.1;0.5;
HOU;Cuttino Mobley;26;35;5.5;11.6;1.9;0.8;
PHO;Shawn Marion;23;37;14.6;9.1;2.5;2;
MEM;Shane Battier;23;35;7.5;11.9;2.1;1.8;
LAL;Kobe Bryant;23;89;7.9;25.9;2;0.8;
NJN;Jason Kidd;28;56;10.9;42.5;3;0.5;
SEA;Brent Barry;30;50;8.6;21.3;2.6;0.9;
UTA;Karl Malone;38;42;13.6;21.8;2.7;1.5;
GSW;Antawn Jamison;25;87;9.8;9.6;1.2;1;
LAC;Jeff McInnis;27;98;4;27.6;1.1;0.1;
CLE;Andre Miller;25;44;7.4;49.8;2.2;0.8;
LAC;Elton Brand;22;19;17.3;11;1.4;3.7;
MEM;Pau Gasol;21;68;13.5;13.8;0.7;3.9;
ATL;Shareef Abdur-Rahim;25;25;13.3;15.1;1.7;2;
TOR;Antonio Davis;33;72;14.3;8.7;1;2.1;
ATL;Jason Terry;24;73;5.2;26.9;2.5;0.3;
POR;Rasheed Wallace;27;20;12.8;9.3;1.8;2.6;
TOR;Alvin Williams;27;62;5.5;26.6;2.5;0.7;
DET;Ben Wallace;27;83;21;6.2;2.5;6.7;
NYK;Allan Houston;30;8;5;12.6;1;0.3;
ORL;Tracy McGrady;22;56;11.5;25.8;2.1;1.8;
PHI;Dikembe Mutombo;35;72;16.8;4.8;0.5;5;
DAL;Dirk Nowitzki;23;98;14.5;10.8;1.5;1.9;
IND;Reggie Miller;36;62;4.3;14.7;1.6;0.2;
DET;Clifford Robinson;35;32;8;12.5;1.7;2.4;
DAL;Steve Nash;27;68;5;36.1;1;0.1;
SAC;Doug Christie;31;23;7.1;17.2;2.9;0.6;
POR;Damon Stoudamire;28;81;6.1;28;1.3;0.2;
CLE;Wesley Person;30;29;6.2;10.8;1.5;1;
NYK;Kurt Thomas;29;68;15.6;5.8;1.4;2.1;
DAL;Michael Finley;28;66;7.3;14;1.2;0.6;
ORL;Darrell Armstrong;33;35;6.5;25.5;3;0.3;
IND;Jermaine O'Neal;23;94;15.8;8.1;0.9;4.4;
DET;Jerry Stackhouse;27;90;6.9;28.4;1.5;1;
SAC;Mike Bibby;23;42;4.5;23;1.6;0.4;
SAC;Peja Stojakovic;24;21;7.5;10.6;1.5;0.4;
GSW;Jason Richardson;21;63;6.9;15.4;2;0.8;
PHI;Allen Iverson;26;81;5.8;27.6;3.5;0.4;
MIL;Sam Cassell;32;48;6.9;34.3;1.8;0.3;
NJN;Kerry Kittles;27;80;5.9;13.9;2.6;0.9;
SEA;Rashard Lewis;22;14;11.4;7.8;2.2;1.2;
LAC;Michael Olowokandi;26;46;15.7;5.8;1.1;3.9;
UTA;John Stockton;39;99;6.2;46.3;3.2;0.7;
CHH;P.J. Brown;32;37;17.5;6.6;1.2;2.2;
PHI;Matt Harpring;25;16;12.8;7.5;1.5;0.1;
MIL;Ray Allen;26;88;7.1;19.4;1.9;0.5;
NJN;Kenyon Martin;24;50;8.7;13;1.9;3.5;
CHH;David Wesley;31;33;3.3;16.2;1.6;0.4;
HOU;Kenny Thomas;24;13;11.9;10;1.9;1.8;
NJN;Keith Van Horn;26;43;13.9;11.6;1.3;1.2;
PHO;Anfernee Hardaway;30;40;8;21.1;2.6;0.9;
MIA;Alonzo Mourning;31;56;15;6.8;0.6;5.8;
POR;Dale Davis;32;17;16.5;6.2;1.4;2.6;
IND;Jamaal Tinsley;23;2;6.9;42.8;3;1.2;
BOS;Kenny Anderson;31;42;6.2;28.1;3;0.3;
LAL;Shaquille O'Neal;29;36;16.3;16.4;0.9;4.1;
SAC;Vlade Divac;33;17;14.8;17.9;1.6;2.6;
SEA;Desmond Mason;24;59;8.6;6.7;1.5;0.8;
ORL;Pat Garrity;25;65;7.8;6.4;1.3;0.8;
TOR;Vince Carter;25;55;7.5;19.9;2.1;1.3;
NYK;Mark Jackson;36;9;7.6;42.5;1.7;0;
MIN;Chauncey Billups;25;75;5.5;29.2;1.5;0.5;
POR;Bonzi Wells;25;99;11.1;15.8;2.6;0.8;
MIL;Glenn Robinson;29;15;10;13.4;2.2;1.3;
HOU;Steve Francis;24;59;9.8;29.1;1.6;0.7;
CLE;Lamond Murray;28;79;9.5;12.2;1.6;1.3;
SAS;David Robinson;36;57;16.2;7;2;4.3;
MIA;Rod Strickland;35;20;5.9;35.7;2;0.4;
LAL;Rick Fox;32;19;9.4;18.1;1.5;0.7;
DET;Chucky Atkins;27;13;4.1;20.5;1.7;0.3;
SAS;Tony Parker;19;51;5;23.9;2.1;0.2;
MIA;Brian Grant;29;79;14.9;10.5;1.2;1.1;
HOU;Moochie Norris;28;99;6.3;29.9;2;0.1;
DEN;James Posey;25;51;10.9;13.1;2.7;1.3;
CHI;Trenton Hassell;22;2;6.7;13;1.3;1.5;
MEM;Jason Williams;26;12;4.9;42;2.6;0.2;
LAC;Darius Miles;20;33;11.5;13.5;1.7;3.2;
PHI;Eric Snow;28;84;5.5;30.6;2.3;0.3;
MIN;Rasho Nesterovic;25;50;13.9;5.2;1.1;3.7;
GSW;Danny Fortson;25;78;21.8;9.3;1;0.5;
SAS;Steve Smith;32;71;5;11.5;1.3;0.5;
ORL;Horace Grant;36;2;12.2;7.1;1.3;1.6;
WAS;Richard Hamilton;23;16;5.7;14.6;0.9;0.5;
TOR;Keon Clark;26;73;15.8;7.1;1.4;4.2;
SAS;Antonio Daniels;26;6;4.7;17.2;1.2;0.4;
WAS;Chris Whitney;30;88;4.1;23.4;1.8;0.2;
ATL;Nazr Mohammed;24;91;17.1;2.6;1.5;2.1;
CHH;Elden Campbell;33;26;14;8.5;1.5;4.6;
LAC;Quentin Richardson;21;17;8.8;10.5;1.9;0.7;
UTA;Andrei Kirilenko;20;43;11.2;7.4;2.9;5.9;
CLE;Jumaine Jones;22;27;13.4;8.9;1.9;1.6;
LAL;Robert Horry;31;63;12.3;15.3;1.9;3;
ORL;Mike Miller;21;99;7.2;15.2;1.1;0.8;
WAS;Michael Jordan;38;95;9.4;30.8;2.2;0.9;
PHI;Derrick Coleman;34;13;13.9;8.5;1.1;1.9;
SAC;Chris Webber;28;91;14.1;21.9;2.2;2.4;
MIN;Anthony Peeler;32;70;5.8;13;1.6;0.4;
GSW;Larry Hughes;23;8;6.4;26.1;2.8;0.8;
UTA;Bryon Russell;31;80;8.9;11.1;1.7;0.8;
POR;Scottie Pippen;36;85;9.5;28.7;2.7;1.3;
TOR;Morris Peterson;24;49;6.4;13.5;2;0.4;
MIL;Tim Thomas;24;17;8.7;8.7;1.7;1.2;
DET;Jon Barry;32;97;6.9;23.2;2.5;0.7;
LAL;Derek Fisher;27;52;4.1;13.9;1.7;0.3;
SAC;Hedo Turkoglu;22;1;9.8;12.2;1.5;1;
CHI;Marcus Fizer;23;5;12.7;11.7;1.3;0.9;
CLE;Ricky Davis;22;71;7.3;16.6;1.9;0.9;
IND;Jalen Rose;29;90;7.2;18.9;1.2;1.1;
MIN;Joe Smith;26;38;13.6;6.6;1.1;2.3;
WAS;Popeye Jones;31;33;17.5;10.5;1.4;0.7;
HOU;Kelvin Cato;27;95;15.7;2.5;1.1;3.4;
NJN;Richard Jefferson;21;93;8.6;11.7;1.7;1.8;
DET;Michael Curry;33;55;5.2;10.1;1.3;0.4;
CHH;Lee Nailon;26;100;8.7;9.1;1.7;0.6;
HOU;Eddie Griffin;19;80;12.5;4.8;0.5;4.8;
SAC;Scot Pollard;26;23;16;3.9;1.9;2.7;
MEM;Grant Long;35;77;6.9;11.5;1.8;0.4;
POR;Derek Anderson;27;18;6;18.6;2;0.3;
ATL;Jacque Vaughn;26;100;5.2;30.2;1.8;0.1;
ORL;Troy Hudson;25;57;4.4;23.4;1.6;0.2;
DEN;George McCloud;34;5;7.8;17.9;1.7;0.8;
MIA;Jim Jackson;31;68;9.3;13.4;1.3;0.6;
BOS;Tony Battie;25;39;14.5;3.2;1.7;2.9;
MEM;Stromile Swift;22;81;13.3;5;1.5;4.3;
IND;Jeff Foster;25;65;17.6;6.1;2.1;1.5;
GSW;Bob Sura;28;32;7.7;25;2.5;0.6;
MEM;Rodney Buford;24;11;8.6;7;1.3;0.5;
PHO;Bo Outlaw;30;39;10.7;9.9;1.8;3.4;
POR;Ruben Patterson;26;93;9.9;10.5;2.4;1.6;
LAL;Devean George;24;85;9.5;9.4;2.1;1.7;
SAC;Bobby Jackson;28;96;7.7;14.7;2.1;0.4;
UTA;Donyell Marshall;28;48;15.2;10.9;1.5;3;
BOS;Eric Williams;29;39;6.9;9.8;2.3;0.4;
GSW;Erick Dampier;26;77;11.9;7.8;0.5;6.5;
DEN;Nick Van Exel;30;69;5.5;40.2;0.9;0.3;
NYK;Clarence Weatherspoon;31;81;15.4;5.8;1.1;2.1;
ATL;DerMarr Johnson;21;16;8.2;7.7;1.9;2.4;
SAS;Malik Rose;27;26;16.4;6.3;2.2;1.7;
LAC;Eric Piatkowski;31;44;6.1;10.4;1.3;0.5;
SEA;Vin Baker;30;61;12.1;7;0.7;1.6;
DET;Corliss Williamson;28;10;11.1;11.5;1.5;1.1;
SAS;Bruce Bowen;30;36;5.5;8.1;1.9;1;
DEN;Ryan Bowen;26;47;10.1;4.8;2.4;1.8;
MIA;LaPhonso Ellis;31;46;10;5.6;1;1.7;
DEN;Raef LaFrentz;25;34;12.9;6.5;1;6.8;
DEN;Voshon Lenard;28;6;6.3;14.3;1.9;1.1;
MIL;Ervin Johnson;34;97;16.2;2.3;1.2;3.6;
DAL;Juwan Howard;28;52;13.1;8.7;0.9;1.3;
CLE;Chris Mihm;22;55;13.9;2.4;0.6;3.9;
LAL;Samaki Walker;25;46;16;5.7;0.9;3.8;
IND;Jonathan Bender;21;17;8.4;6.1;0.6;2.1;
BOS;Erick Strickland;28;23;7.1;18.6;1.8;0;
TOR;Jerome Williams;28;2;13.5;7.3;2.6;1.1;
DEN;Calbert Cheaney;30;73;8.4;11.3;1.1;1;
LAL;Lindsey Hunter;31;15;4.1;11.7;2.1;0.8;
LAC;Corey Maggette;22;79;8.1;11.5;1.4;0.8;
CHH;Jamal Mashburn;29;3;8.6;19.7;1.5;0.3;
NYK;Shandon Anderson;28;72;9;7.7;1.6;0.7;
PHO;Jake Tsakalidis;22;39;13.3;2.2;0.8;3.2;
TOR;Chris Childs;34;85;5.6;32.9;1.9;0.2;
NYK;Othella Harrington;28;96;12.9;4.2;1;1.7;
NJN;Lucious Harris;31;84;7.5;12.3;1.8;0.3;
CHH;Jamaal Magloire;23;27;17;3.4;0.9;4;
NJN;Aaron Williams;30;68;12.3;8.1;1;3.5;
PHI;Speedy Claxton;23;17;5.9;21.9;3.4;0.3;
CHI;Ron Mercer;25;6;6;15.1;1.1;0.5;
NJN;Todd MacCulloch;26;42;14.1;8.6;0.8;4.3;
WAS;Tyrone Nesby;26;27;12.3;9.8;2.2;1.1;
ATL;Toni Kukoc;33;3;8.3;23.7;1.7;0.8;
GSW;Adonal Foyle;26;28;13.9;4.3;1.2;7.7;
PHI;Aaron McKie;29;64;7.4;21.7;2.1;0.7;
WAS;Tyronn Lue;24;29;4.9;28.5;1.8;0;
GSW;Troy Murphy;21;36;11.9;7.6;1.3;1;
WAS;Christian Laettner;32;18;12.1;16.7;2.3;1.3;
UTA;Jarron Collins;23;84;12.4;6.6;1.1;1.2;
PHI;Corie Blount;33;3;14.6;4.9;1.9;1.4;
MIL;Michael Redd;22;90;9.1;11.5;1.6;0.4;
MIA;Kendall Gill;33;66;7.6;12.1;1.7;0.4;
CHI;Fred Hoiberg;29;78;8.7;15.5;2.3;0.3;
NJN;Jason Collins;23;33;12;8.4;1.1;2.4;
CHI;Brad Miller;25;50;16.8;13;2;1.5;
CHI;Tyson Chandler;19;5;14.4;6.5;1.1;5;
DAL;Adrian Griffin;27;93;9.2;11.3;2.8;0.6;
CHI;Charles Oakley;38;38;14.5;12.9;1.9;0.6;
TOR;Hakeem Olajuwon;39;55;15.3;8;2.9;4.9;
ATL;Hanno Mottola;25;28;11.2;6;0.8;1;
DAL;Eduardo Najera;25;34;14;4;2.1;1.6;
WAS;Jahidi White;25;59;19.2;2;1;4.1;
BOS;Vitaly Potapenko;26;14;14.2;3.6;1.4;1;
CLE;Zydrunas Ilgauskas;26;36;14.8;9.4;0.7;4.6;
WAS;Courtney Alexander;24;28;6.5;11.3;1.4;0.4;
CHH;Stacey Augmon;33;77;9.7;12.5;2.3;0.7;
IND;Al Harrington;21;65;11.9;7.3;1.6;1.1;
UTA;Scott Padgett;25;46;13.2;11;1.8;0.8;
SAS;Terry Porter;38;66;7.3;25.2;1.9;0.9;
IND;Austin Croshere;26;53;12.9;10.1;1.1;1.6;
ORL;Monty Williams;30;42;10.2;12;2;0.9;
DAL;Tim Hardaway;35;50;4.2;23.7;1.6;0.4;
ATL;Ira Newble;27;62;10;5.6;1.6;1.2;
WAS;Brendan Haywood;22;6;14.8;3.5;0.9;5.3;
PHO;Rodney Rogers;30;36;10.8;9.9;2.1;1;
MEM;Lorenzen Wright;26;99;18.1;6.5;1.3;1.3;
MEM;Tony Massenburg;34;77;14.5;3.5;1.3;1.7;
GSW;Chris Mills;32;81;8.2;9.5;1.3;0.7;
POR;Shawn Kemp;32;61;13.7;6.9;1.9;2;
WAS;Hubert Davis;31;29;3.6;13.9;1.2;0.2;
MIA;Eddie House;23;65;5.2;18.8;1.9;0.3;
SEA;Vladimir Radmanovic;21;18;11;9.8;2.5;1.5;
CHI;Jalen Rose;29;44;6;26.9;1.4;1;
MIL;Darvin Ham;28;53;9.7;9.1;1.1;2.2;
DEN;Avery Johnson;36;65;3;37;1.5;0.5;
PHO;Dan Majerle;36;78;8.4;10.9;2.1;0.9;
DET;Zeljko Rebraca;29;62;14.5;5.7;1.3;4.4;
SEA;Predrag Drobnjak;26;7;11;6.9;0.9;2;
ATL;Dion Glover;23;55;8.3;12.8;2;0.9;
GSW;Gilbert Arenas;20;61;6.1;24.8;3;0.6;
MEM;Brevin Knight;26;15;5.3;43.9;3.6;0.4;
CHI;Eddy Curry;19;83;13.8;4;0.7;3.4;
CHI;Kevin Ollie;29;68;6.5;26.9;1.7;0.1;
SAS;Charles Smith;26;62;6.7;12.2;2.4;2.7;
MIN;Gary Trent;27;16;13.7;8.3;1;1.8;
UTA;DeShawn Stevenson;20;58;7;17.1;1.4;1.7;
PHO;Tom Gugliotta;32;5;11.1;10.2;1.8;1.9;
MIL;Joel Przybilla;22;30;14.5;2.7;0.9;7.6;
HOU;Walt Williams;31;52;8.3;11;0.9;0.6;
HOU;Terence Morris;23;93;10.9;9.5;1;1.7;
UTA;Greg Ostertag;28;76;17;7;0.7;7.8;
CLE;Brian Skinner;25;87;14.9;2.3;1.2;4;
DET;Damon Jones;25;11;5.6;20.9;1.1;0.1;
HOU;Oscar Torres;25;65;6.5;6.4;1.3;0.6;
NYK;Charlie Ward;31;19;7;31.7;3.4;1;
MIA;Anthony Carter;26;92;6.5;33;2.6;0.2;
NYK;Marcus Camby;27;47;18.5;5.6;1.8;3.7;
BOS;Joe Johnson;20;94;7.6;12.5;1.7;0.7;
LAC;Lamar Odom;22;74;10;28.6;1.2;2.5;
SEA;Art Long;29;59;15;6.2;1.2;2.1;
DEN;Juwan Howard;28;20;13;14.4;1;1.3;
SEA;Earl Watson;22;94;5.1;18.8;3.4;0.4;
MIN;Terrell Brandon;31;23;5.6;42.8;2.9;0.5;
CHI;Greg Anthony;34;23;5.3;35.7;2.7;0.3;
IND;Travis Best;29;83;4.1;29.8;3.1;0.4;
SEA;Jerome James;26;51;14.4;3.9;1.4;6.9;
UTA;John Starks;36;14;4.4;12.5;1.9;0;
PHO;Joe Johnson;20;61;7.3;17.7;1.5;0.9;
ORL;Patrick Ewing;39;76;16.3;6.3;1.3;3.5;
PHO;Jake Voskuhl;24;19;15.7;3;0.6;1.9;
CHH;George Lynch;31;98;11.9;9.3;2.4;1.1;
PHI;Raja Bell;25;47;7.1;13.4;1.3;0.3;
TOR;Dell Curry;37;67;5.2;11.9;1.3;0.5;
DAL;Greg Buckner;25;56;10.9;7.9;1.8;1.5;
MIA;Vladimir Stepania;25;23;17.8;3.2;1.5;3.8;
PHO;Tony Delk;28;45;8;15.6;1.9;0.3;
IND;Brad Miller;25;78;14.2;10.5;1.4;1;
MEM;Will Solomon;23;80;4.3;17.8;2.1;0.6;
HOU;Kevin Willis;39;71;19.8;2.9;1.6;1.8;
DEN;Zendon Hamilton;26;88;17;2.7;1.3;1.6;
CHI;Metta World Peace;22;82;9.3;17.8;4.8;2.1;
IND;Metta World Peace;22;67;9.6;10.3;4.2;1.4;
WAS;Kwame Brown;19;88;14.1;8.4;1.1;2.4;
CLE;Tyrone Hill;33;25;19.9;4.3;1.1;1.2;
MIA;Chris Gatling;34;31;14.9;5.7;1.2;1;
UTA;John Crotty;32;85;5.6;29.2;1.3;0.1;
SAS;Danny Ferry;35;30;6.5;9.4;1.1;0.8;
CHI;Travis Best;29;4;6;33.1;2.1;0.1;
DAL;Raef LaFrentz;25;100;14.1;5.6;1.6;5.5;
PHI;Derrick McKey;35;52;9.2;8.9;2.8;0.4;
POR;Steve Kerr;36;73;4.6;13;0.9;0.1;
ATL;Emanual Davis;33;71;5.5;13.7;1.8;0.5;
CHH;Bryce Drew;27;98;5.3;20.7;2.2;0.2;
LAC;Earl Boykins;25;93;4;31.5;1.4;0.2;
DAL;Shawn Bradley;29;94;12.9;3.8;1.9;6;
DAL;Nick Van Exel;30;25;6.2;23.5;1;0.4;
DEN;Scott Williams;33;46;16.2;2.8;1.2;3.3;
LAL;Stanislav Medvedenko;22;5;12;9.9;2.1;1.1;
LAC;Sean Rooks;32;37;9.6;5.4;0.9;2;
MIN;Sam Mitchell;38;21;6.5;9.3;0.9;0.4;
DAL;Johnny Newman;38;19;3.8;2.7;2.1;0.4;
SAC;Lawrence Funderburke;31;21;14.6;6.6;0.8;1.7;
BOS;Walter McCarty;27;94;9.8;9.4;1.3;0.8;
ORL;Don Reid;28;63;13.8;5.8;1.4;4.3;
LAL;Mitch Richmond;36;37;7.3;12.3;1.3;0.6;
CLE;Michael Doleac;24;90;14;5.6;1.1;1.1;
CLE;Bimbo Coles;33;58;4.7;23.3;1;0.4;
DEN;Donnell Harvey;21;18;15.2;7.9;1.3;2.1;
CHH;Robert Traylor;24;90;15.7;9;1.9;4;
CLE;Bryant Stith;31;6;7.5;9.9;2.3;0.7;
TOR;Eric Montross;30;58;12.3;3.7;1;2.6;
ATL;Mark Strickland;31;72;11.4;5.1;1.5;1.9;
CHI;Eddie Robinson;25;84;7;10.5;1.9;1.3;
LAL;Mark Madsen;26;29;13.7;9.7;1.3;1.4;
CHI;Dalibor Bagaric;21;5;14.8;6;1.4;2.8;
ORL;Andrew DeClercq;28;88;14.4;5.2;1.9;2.7;
LAL;Brian Shaw;35;3;9.8;20.2;2.1;0.3;
ORL;Jud Buechler;33;34;9.6;6.5;1.6;0.9;
BOS;Rodney Rogers;30;11;9.4;11.7;1.3;1.5;
WAS;Etan Thomas;23;42;17;1.6;1.5;4.2;
NYK;Howard Eisley;29;39;4.7;26.7;2.1;0.4;
CHI;A.J. Guyton;23;24;4.2;23.6;0.9;0.9;
HOU;Glen Rice;34;67;4.4;8.5;1.1;0.3;
SEA;Shammond Williams;26;11;6.2;21;1.9;0.3;
MIL;Rafer Alston;25;59;6.9;36.4;2.8;0.2;
DAL;Wang Zhizhi;24;77;10.3;5.9;0.9;2.1;
GSW;Mookie Blaylock;34;85;4.7;28.2;2;0.5;
UTA;John Amaechi;31;98;11.2;7.8;0.6;1.4;
ATL;Cal Bowdler;24;94;10.7;3;1.6;1.9;
DET;Dana Barros;34;31;5.8;22.5;1.3;0.2;
MIN;Felipe Lopez;27;21;8;9.6;1.6;0.1;
IND;Kevin Ollie;29;87;5.5;25.4;2.4;0.1;
BOS;Tony Delk;28;12;7.6;14.6;2;0.8;
DEN;Kenny Satterfield;20;35;5.3;31.8;2.9;0.1;
MIL;Greg Anthony;34;31;4.6;22.4;2.7;0.1;
DAL;Danny Manning;35;8;10.9;8;2;2.7;
UTA;Rusty LaRue;28;63;5.4;22.3;1.7;1;
POR;Rick Brunson;29;40;7.7;32.7;2.6;0.3;
BOS;Milt Palacio;23;26;5.3;16.8;2.1;0.5;
ORL;Steven Hunter;20;90;10.5;1.5;0.5;5.8;
MIN;Loren Woods;23;28;13.7;5.8;1.7;4.9;
ORL;Grant Hill;29;91;13.6;20.3;0.8;0.5;
PHI;Vonteego Cummings;25;4;5.9;21.6;1.9;0.8;
UTA;Quincy Lewis;24;82;5.3;12.4;2.5;1.5;
PHO;John Wallace;27;50;9.8;10;1.2;1.3;
CHI;Jamal Crawford;21;35;4.1;21.8;2;0.8;
CLE;Trajan Langdon;25;21;6.8;21.1;1.4;0.8;
TOR;Tracy Murray;30;59;6.4;7.2;1.3;1.3;
PHO;Alton Ford;20;68;13.4;2.4;0.7;1.1;
HOU;Dan Langhi;24;53;8.8;5.4;1;0.8;
SAC;Gerald Wallace;19;7;11.1;9.6;2.2;0.9;
NYK;Travis Knight;27;59;14.1;3;1.4;1.7;
MIL;Mark Pope;29;4;9.9;5.9;1.4;1.9;
ATL;Alan Henderson;29;57;13.1;4.4;1.4;2.6;
DEN;Tariq Abdul-Wahad;27;10;10.7;8.7;2.3;1.6;
BOS;Mark Blount;26;49;11.2;3.8;2;3.6;
DEN;Mengke Bateer;26;14;13.4;8.9;1.3;0.9;
HOU;Tierre Brown;22;19;6;29.5;2.6;0.5;
MEM;Eddie Gill;23;2;4.1;20.6;1.5;0.5;
NJN;Anthony Johnson;27;56;4.4;19.7;4.4;0.2;
HOU;Jason Collier;24;77;12.8;4.1;0.9;0.7;
CHH;Matt Bullard;34;25;7.7;7.4;0.3;0.4;
LAC;Tremaine Fowlkes;25;90;10.6;7.3;1.7;0.2;
WAS;Bobby Simmons;21;51;8.8;8;2.1;1.1;
POR;Chris Dudley;36;32;14.4;5.7;0.5;3.3;
MIN;Marc Jackson;27;14;15.1;3.1;1;0.7;
DEN;Tim Hardaway;35;98;4.7;40.1;2.8;0.5;
MEM;Antonis Fotsis;20;62;10.8;5.3;1.5;2.4;
MIA;Sean Marks;26;67;13.7;4.3;0.9;2.4;
MEM;Isaac Austin;32;23;12.9;7;1.5;1.1;
DAL;Evan Eschmeyer;26;42;18.2;4.1;1.7;2.2;
NJN;Brian Scalabrine;23;1;9.9;10.5;1.6;0.5;
MIL;Jason Caffey;28;37;10.2;6.7;0.8;1.3;
TOR;Jermaine Jackson;25;92;5.5;30.5;1.7;0.3;
SEA;Calvin Booth;25;83;11.4;8.6;1.2;3.5;
DEN;Carlos Arroyo;22;24;5.8;29.5;1;0.3;
PHO;Milt Palacio;23;57;4.8;15.9;1.7;0.3;
DEN;Chris Andersen;23;29;16.5;4.2;1.4;7.9;
MIN;William Avery;22;74;5.4;19.9;1.4;0;
MIN;Robert Pack;32;97;5.3;27.7;2.7;0;
DEN;Shawnelle Scott;29;72;23.3;5.4;0.6;1.8;
NJN;Derrick Dial;26;24;10.1;19.3;1.7;1.2;
NYK;Felton Spencer;34;66;11.7;1.8;1.5;2.4;
POR;Ruben Boumtje-Boumtje;23;39;13.2;2.3;0.7;5;
BOS;Kedrick Brown;20;25;11.2;9.8;3.8;2.2;
POR;Zach Randolph;20;16;17;9.8;1.6;1.3;
DEN;Antonio McDyess;27;73;13.3;13.8;2.3;2.5;
SAS;Cherokee Parks;29;87;14.3;7.1;1.6;2.4;
POR;Erick Barkley;23;72;4.6;22.9;4;0.3;
SAS;Stephen Jackson;23;87;6.6;8.3;3.5;0.9;
SEA;Olumide Oyedeji;20;93;21.1;2.6;1;0.7;
MEM;Nick Anderson;34;96;8.4;10.2;1.4;1.9;
DET;Mikki Moore;26;77;14.4;8.6;1.7;2.9;
IND;Ron Mercer;25;67;6.1;7.6;0.5;1;
SAS;Mark Bryant;36;32;12.3;7.9;1.8;0.7;
NJN;Brandon Armstrong;21;47;4.6;6.5;1.9;0.4;
NYK;Lavor Postell;23;72;5.2;5;1.8;0;
PHI;Samuel Dalembert;20;51;21.8;4.8;1.8;5.6;
SEA;Randy Livingston;26;38;8.4;21;2.8;0.9;
LAC;Harold Jamison;25;41;12.5;5.5;1.5;0.4;
DEN;Isaiah Rider;30;5;10.9;13.3;0.9;0.9;
PHI;Michael Ruffin;25;44;17.1;4.4;1.6;3.6;
GSW;Marc Jackson;27;18;13.6;6.6;1.5;1.2;
IND;Carlos Rogers;30;58;12.8;3;1.6;2.5;
DAL;Donnell Harvey;21;84;15.8;4.3;1.3;2.2;
MIA;Malik Allen;23;86;13.8;5.5;1;3.8;
ORL;Bo Outlaw;30;44;10.1;4.5;2.9;3.9;
IND;Primoz Brezec;22;59;9.9;5.8;0;3.1;
MIA;Sam Mack;31;40;5.1;4.1;1.7;0.5;
LAC;Keyon Dooling;21;63;1.1;12.7;1.4;1.3;
SAC;Mateen Cleaves;24;45;2.8;25.9;2.3;0;
SAS;Amal McCaskill;28;19;13.5;4.3;2.1;4.6;
DAL;Avery Johnson;36;39;1.8;27.6;1.7;0.5;
MIN;Dean Garrett;35;72;17.9;3.7;1.7;4.4;
LAC;Obinna Ekezie;26;7;12.7;3;0.7;2.7;
ORL;Jaren Jackson;34;84;6.6;8.2;1.8;0;
SEA;Ansu Sesay;25;63;8.3;8.9;1.1;1.1;
GSW;Dean Oliver;23;82;3.1;23.8;1.1;0;
ATL;Chris Crawford;26;2;10.9;6.7;0.8;2.8;
LAC;Doug Overton;32;84;5.2;15.6;1.2;0.5;
DET;Rodney White;21;34;8.2;16.6;3.7;1.1;
PHO;Joe Crispin;22;47;4.4;30.9;1.6;0;
PHI;Alvin Jones;23;55;16.2;3.7;1.3;5.4;
MEM;Michael Dickerson;26;67;5.4;12.1;1.3;0.6;
MIA;Mike James;26;12;6.9;27.7;2.8;0.6;
NJN;Donny Marshall;29;48;10;6.1;1.3;0;
TOR;Michael Bradley;22;23;11.7;4;0;3.8;
PHI;Jabari Smith;24;72;7.2;8.6;2;1.4;
CLE;DeSagana Diop;20;28;9.2;7.3;0.5;6.7;
LAL;Jelani McCoy;24;15;13.3;9.9;0;3.4;
ATL;Leon Smith;21;25;17.7;4.7;2.6;0.7;
MIA;Tang Hamilton;23;43;10.7;8.5;2.2;0;
DET;Victor Alexander;32;67;17.6;11.5;0;0.7;
TOR;Carlos Arroyo;22;84;7.2;36.3;3.4;0;
TOR;Michael Stewart;26;56;15.4;4.9;2.3;2.4;
SAC;Chucky Brown;33;60;19.2;9.1;1.1;2.9;
SAS;Jason Hart;23;98;8.1;20.9;4.1;0.8;
POR;Mitchell Butler;31;62;9.1;8.6;0;0.8;
SAC;Brent Price;33;59;4.8;13.9;1.7;0.7;
IND;Bruno Sundov;21;96;13.5;6.1;1.8;2.4;
ATL;Theo Ratliff;28;26;11.1;2;0.6;7.2;
CHH;Kirk Haston;22;74;14.8;11;0;0.9;
CLE;Jeff Trepagnier;22;16;9.2;23.9;5.5;3.8;
CHH;Jerome Moiso;23;99;18.8;8.4;2.1;1.9;
MEM;Isaac Fontaine;26;4;3.7;7.8;0;0;
SAC;Jabari Smith;24;20;10.5;11.4;1.4;3.7;
GSW;Cedric Henderson;26;92;2.3;10.5;4.4;1.9;
PHI;Damone Brown;22;99;3.4;5;0.8;1.1;
ORL;Dee Brown;33;69;7.7;4.2;2.4;1.1;
CHI;Norm Richardson;22;86;6.5;2.9;0;0;
PHO;Jud Buechler;33;2;8.4;7.5;1;0;
